CustomerKey,CustomerID,CustomerName,CustomerSegment,RegionKey,CustomerSince,Industry
1,CUST-0001,Apex Customer 0001,SME,4,2022-01-10,Retail
2,CUST-0002,Apex Customer 0002,SME,4,2021-07-22,Manufacturing
3,CUST-0003,Apex Customer 0003,SME,6,2021-06-01,Education
4,CUST-0004,Apex Customer 0004,SME,5,2020-09-07,Healthcare
5,CUST-0005,Apex Customer 0005,SME,3,2022-04-28,Professional Services
6,CUST-0006,Apex Customer 0006,Mid-Market,5,2019-04-10,Professional Services
7,CUST-0007,Apex Customer 0007,SME,1,2022-04-12,Retail
8,CUST-0008,Apex Customer 0008,SME,2,2023-12-23,Healthcare
9,CUST-0009,Apex Customer 0009,SME,3,2023-11-01,Education
10,CUST-0010,Apex Customer 0010,SME,5,2021-11-16,Manufacturing
11,CUST-0011,Apex Customer 0011,SME,3,2020-01-02,Manufacturing
12,CUST-0012,Apex Customer 0012,Mid-Market,4,2023-12-03,Manufacturing
13,CUST-0013,Apex Customer 0013,SME,3,2019-11-28,Education
14,CUST-0014,Apex Customer 0014,Mid-Market,4,2021-09-06,Retail
15,CUST-0015,Apex Customer 0015,SME,6,2023-04-01,Hospitality
16,CUST-0016,Apex Customer 0016,Mid-Market,3,2020-04-05,Professional Services
17,CUST-0017,Apex Customer 0017,SME,2,2019-09-14,Construction
18,CUST-0018,Apex Customer 0018,SME,1,2020-04-23,Retail
19,CUST-0019,Apex Customer 0019,SME,5,2023-02-16,Construction
20,CUST-0020,Apex Customer 0020,SME,2,2022-05-17,Education
21,CUST-0021,Apex Customer 0021,SME,6,2022-09-16,Professional Services
22,CUST-0022,Apex Customer 0022,SME,4,2022-11-28,Hospitality
23,CUST-0023,Apex Customer 0023,Enterprise,4,2022-11-13,Education
24,CUST-0024,Apex Customer 0024,SME,1,2023-01-20,Construction
25,CUST-0025,Apex Customer 0025,SME,5,2021-09-13,Retail
26,CUST-0026,Apex Customer 0026,SME,2,2021-03-17,Healthcare
27,CUST-0027,Apex Customer 0027,SME,4,2021-12-02,Manufacturing
28,CUST-0028,Apex Customer 0028,Mid-Market,4,2022-04-03,Manufacturing
29,CUST-0029,Apex Customer 0029,SME,2,2020-04-26,Healthcare
30,CUST-0030,Apex Customer 0030,Mid-Market,2,2021-01-17,Healthcare
31,CUST-0031,Apex Customer 0031,SME,4,2023-06-21,Manufacturing
32,CUST-0032,Apex Customer 0032,SME,5,2019-06-13,Healthcare
33,CUST-0033,Apex Customer 0033,SME,2,2019-07-28,Professional Services
34,CUST-0034,Apex Customer 0034,SME,2,2022-07-19,Hospitality
35,CUST-0035,Apex Customer 0035,SME,5,2022-01-02,Professional Services
36,CUST-0036,Apex Customer 0036,SME,2,2023-03-03,Education
