ProductKey,ProductID,ProductName,Category,Subcategory,StandardPrice,StandardCost
1,PRD-001,Paper Product 01,Office Supplies,Paper,51.33,32.95
2,PRD-002,Stationery Product 02,Office Supplies,Stationery,32.81,20.81
3,PRD-003,Filing Product 03,Office Supplies,Filing,37.65,24.34
4,PRD-004,Paper Product 04,Office Supplies,Paper,39.14,27.01
5,PRD-005,Stationery Product 05,Office Supplies,Stationery,27.68,18.3
6,PRD-006,Filing Product 06,Office Supplies,Filing,8.09,5.35
7,PRD-007,Paper Product 07,Office Supplies,Paper,37.93,25.44
8,PRD-008,Stationery Product 08,Office Supplies,Stationery,55.61,34.77
9,PRD-009,Filing Product 09,Office Supplies,Filing,33.38,21.6
10,PRD-010,Paper Product 10,Office Supplies,Paper,29.26,19.88
11,PRD-011,Stationery Product 11,Office Supplies,Stationery,62.9,40.59
12,PRD-012,Filing Product 12,Office Supplies,Filing,59.47,38.5
13,PRD-013,Paper Product 13,Office Supplies,Paper,36.69,25.93
14,PRD-014,Stationery Product 14,Office Supplies,Stationery,56.25,38.41
15,PRD-015,Filing Product 15,Office Supplies,Filing,15.35,10.41
16,PRD-016,Paper Product 16,Office Supplies,Paper,69.27,47.64
17,PRD-017,Stationery Product 17,Office Supplies,Stationery,24.23,14.65
18,PRD-018,Filing Product 18,Office Supplies,Filing,61.85,40.75
19,PRD-019,Paper Product 19,Office Supplies,Paper,19.43,12.21
20,PRD-020,Stationery Product 20,Office Supplies,Stationery,64.84,42.15
21,PRD-021,Filing Product 21,Office Supplies,Filing,36.06,25.07
22,PRD-022,Paper Product 22,Office Supplies,Paper,69.25,44.34
23,PRD-023,Stationery Product 23,Office Supplies,Stationery,32.98,21.41
24,PRD-024,Filing Product 24,Office Supplies,Filing,47.9,33.82
25,PRD-025,Paper Product 25,Office Supplies,Paper,56.69,36.86
26,PRD-026,Stationery Product 26,Office Supplies,Stationery,15.33,10.36
27,PRD-027,Filing Product 27,Office Supplies,Filing,10.23,6.77
28,PRD-028,Paper Product 28,Office Supplies,Paper,64.56,44.15
29,PRD-029,Stationery Product 29,Office Supplies,Stationery,63.02,40.82
30,PRD-030,Filing Product 30,Office Supplies,Filing,39.91,26.76
31,PRD-031,Accessories Product 01,Technology,Accessories,130.4,95.67
32,PRD-032,Peripherals Product 02,Technology,Peripherals,162.36,118.53
33,PRD-033,Networking Product 03,Technology,Networking,298.7,228.85
34,PRD-034,Accessories Product 04,Technology,Accessories,174.2,135.69
35,PRD-035,Peripherals Product 05,Technology,Peripherals,38.41,28.07
36,PRD-036,Networking Product 06,Technology,Networking,111.22,85.14
37,PRD-037,Accessories Product 07,Technology,Accessories,180.22,127.86
38,PRD-038,Peripherals Product 08,Technology,Peripherals,55.4,42.45
39,PRD-039,Networking Product 09,Technology,Networking,267.88,196.76
40,PRD-040,Accessories Product 10,Technology,Accessories,95.46,68.82
41,PRD-041,Peripherals Product 11,Technology,Peripherals,208.1,152.57
42,PRD-042,Networking Product 12,Technology,Networking,109.72,83.56
43,PRD-043,Accessories Product 13,Technology,Accessories,239.51,173.05
44,PRD-044,Peripherals Product 14,Technology,Peripherals,136.41,97.92
45,PRD-045,Networking Product 15,Technology,Networking,205.66,155.41
46,PRD-046,Accessories Product 16,Technology,Accessories,145.96,104.2
47,PRD-047,Peripherals Product 17,Technology,Peripherals,93.21,67.87
48,PRD-048,Networking Product 18,Technology,Networking,47.18,35.53
49,PRD-049,Accessories Product 19,Technology,Accessories,182.76,130.15
50,PRD-050,Peripherals Product 20,Technology,Peripherals,124.02,90.61
51,PRD-051,Networking Product 21,Technology,Networking,85.83,61.77
52,PRD-052,Accessories Product 22,Technology,Accessories,33.77,24.34
53,PRD-053,Peripherals Product 23,Technology,Peripherals,185.95,137.52
54,PRD-054,Networking Product 24,Technology,Networking,158.15,121.15
55,PRD-055,Accessories Product 25,Technology,Accessories,131.44,96.41
56,PRD-056,Peripherals Product 26,Technology,Peripherals,174.7,128.51
57,PRD-057,Networking Product 27,Technology,Networking,271.19,196.06
58,PRD-058,Accessories Product 28,Technology,Accessories,59.09,45.87
59,PRD-059,Peripherals Product 29,Technology,Peripherals,45.48,33.39
60,PRD-060,Networking Product 30,Technology,Networking,240.35,189.15
61,PRD-061,Furniture Product 01,Workplace Equipment,Furniture,485.97,303.31
62,PRD-062,Storage Product 02,Workplace Equipment,Storage,378.1,239.13
63,PRD-063,Safety Equipment Product 03,Workplace Equipment,Safety Equipment,532.75,319.11
64,PRD-064,Furniture Product 04,Workplace Equipment,Furniture,261.05,157.09
65,PRD-065,Storage Product 05,Workplace Equipment,Storage,128.66,81.09
66,PRD-066,Safety Equipment Product 06,Workplace Equipment,Safety Equipment,289.91,168.13
67,PRD-067,Furniture Product 07,Workplace Equipment,Furniture,163.56,96.31
68,PRD-068,Storage Product 08,Workplace Equipment,Storage,431.58,263.49
69,PRD-069,Safety Equipment Product 09,Workplace Equipment,Safety Equipment,404.14,240.4
