SalesLineID,OrderID,OrderDateKey,OrderDate,CustomerKey,ProductKey,RegionKey,ChannelKey,Quantity,UnitPrice,UnitCost,DiscountAmount
1,ORD-000001,20230125,2023-01-25,282,100,1,2,4,141.63,80.75,25.62
2,ORD-000001,20230125,2023-01-25,282,52,1,2,1,34.03,24.78,1.09
3,ORD-000002,20230113,2023-01-13,375,37,1,3,16,173.35,133.72,194.19
4,ORD-000002,20230113,2023-01-13,375,88,1,3,21,337.58,236.35,512.55
5,ORD-000003,20230105,2023-01-05,1161,50,1,1,12,125.29,92.62,114.12
6,ORD-000003,20230105,2023-01-05,1161,31,1,1,14,130.06,95.39,87.36
7,ORD-000004,20230113,2023-01-13,738,57,1,3,4,265.05,204.27,82.37
8,ORD-000004,20230113,2023-01-13,738,87,1,3,7,265.33,161.95,223.41
9,ORD-000005,20230112,2023-01-12,245,99,1,1,7,133.37,83.61,48.02
10,ORD-000005,20230112,2023-01-12,245,38,1,1,8,57.07,42.32,18.04
11,ORD-000005,20230112,2023-01-12,245,46,1,1,2,142.32,105.03,11.19
12,ORD-000006,20230106,2023-01-06,177,16,1,2,6,66.55,49.16,20.95
13,ORD-000007,20230125,2023-01-25,677,11,1,2,1,62.92,41.65,2.81
14,ORD-000007,20230125,2023-01-25,677,59,1,2,2,44.51,34.27,3.83
15,ORD-000007,20230125,2023-01-25,677,106,1,2,4,101.82,60.7,11.81
16,ORD-000008,20230130,2023-01-30,69,67,1,3,9,156.65,103.31,149.22
17,ORD-000009,20230120,2023-01-20,83,6,1,2,3,7.82,5.49,0.7
18,ORD-000009,20230120,2023-01-20,83,12,1,2,4,57.91,39.4,10.07
19,ORD-000009,20230120,2023-01-20,83,58,1,2,1,59.62,47.81,2.61
20,ORD-000010,20230103,2023-01-03,427,16,1,2,1,68.23,48.43,3.57
21,ORD-000011,20230116,2023-01-16,850,19,1,3,4,18.38,13.14,6.35
22,ORD-000012,20230130,2023-01-30,375,11,1,2,9,60.2,40.99,19.52
23,ORD-000013,20230128,2023-01-28,865,50,1,1,8,120.24,92.18,59.46
24,ORD-000013,20230128,2023-01-28,865,78,1,1,2,408.81,280.03,39.22
