TargetID,MonthStartDate,RegionKey,ChannelKey,RevenueTarget,ProfitTarget
1,2023-01-01,1,1,121569.25,35419.67
2,2023-01-01,1,2,49457.68,15083.5
3,2023-01-01,1,3,74383.61,17825.38
4,2023-01-01,2,1,95072.64,27654.62
5,2023-01-01,2,2,27789.73,8195.23
6,2023-01-01,2,3,61591.4,14599.33
7,2023-01-01,3,1,81781.73,25238.46
8,2023-01-01,3,2,35293.29,11239.34
9,2023-01-01,3,3,33499.28,8634.65
10,2023-01-01,4,1,104773.91,31379.09
11,2023-01-01,4,2,38368.23,11166.96
12,2023-01-01,4,3,37998.15,9923.83
13,2023-01-01,5,1,60242.65,19056.54
14,2023-01-01,5,2,47609.21,14992.94
15,2023-01-01,5,3,86276.8,22038.98
16,2023-01-01,6,1,43226.49,12603.6
17,2023-01-01,6,2,31461.24,9873.06
18,2023-01-01,6,3,46359.72,11222.27
19,2023-02-01,1,1,143080.81,39665.79
20,2023-02-01,1,2,67959.2,20454.63
21,2023-02-01,1,3,57262.31,12267.45
22,2023-02-01,2,1,91481.68,28568.41
23,2023-02-01,2,2,57494.94,17000.97
24,2023-02-01,2,3,61361.29,13971.64
25,2023-02-01,3,1,62130.4,20104.67
26,2023-02-01,3,2,38023.74,11908.98
27,2023-02-01,3,3,60582.55,15513.06
28,2023-02-01,4,1,97344.1,30658.54
29,2023-02-01,4,2,41872.43,12666.64
30,2023-02-01,4,3,66992.74,17627.17
31,2023-02-01,5,1,162705.28,49233.16
32,2023-02-01,5,2,55624.65,17660.31
33,2023-02-01,5,3,64850.4,14509.37
34,2023-02-01,6,1,77776.64,23547.45
35,2023-02-01,6,2,34086.52,10493.77
36,2023-02-01,6,3,23643.37,5970.69
37,2023-03-01,1,1,123524.45,36340.34
38,2023-03-01,1,2,86635.97,26768.59
39,2023-03-01,1,3,99088.69,22896.2
40,2023-03-01,2,1,76985.72,23467.24
41,2023-03-01,2,2,59715.78,18944.38
42,2023-03-01,2,3,79602.59,17262.46
43,2023-03-01,3,1,94854.33,29125.81
44,2023-03-01,3,2,37487.31,12157.5
45,2023-03-01,3,3,75360.57,18802.07
46,2023-03-01,4,1,109329.85,32916.34
47,2023-03-01,4,2,51085.18,16702.47
48,2023-03-01,4,3,46485.81,11270.84
49,2023-03-01,5,1,128240.51,40604.67
50,2023-03-01,5,2,66363.47,21639.71
51,2023-03-01,5,3,89221.36,21462.5
52,2023-03-01,6,1,79345.54,25443.42
53,2023-03-01,6,2,43388.81,14851.6
54,2023-03-01,6,3,47641.81,11629.64
55,2023-04-01,1,1,187272.06,51836.01
56,2023-04-01,1,2,64998.82,20318.03
57,2023-04-01,1,3,88114.58,20526.77
58,2023-04-01,2,1,98403.28,30715.39
59,2023-04-01,2,2,62680.5,19626.13
60,2023-04-01,2,3,79688.96,18237.28
61,2023-04-01,3,1,105642.36,32438.86
62,2023-04-01,3,2,35611.7,11347.63
63,2023-04-01,3,3,78664.95,16132.27
64,2023-04-01,4,1,130229.32,40674.66
65,2023-04-01,4,2,50715.63,15278.05
66,2023-04-01,4,3,69710.79,18106.49
67,2023-04-01,5,1,142930.29,46044.7
68,2023-04-01,5,2,58527.01,18619.32
69,2023-04-01,5,3,84853.97,19237.58
70,2023-04-01,6,1,67777.35,21038.15
71,2023-04-01,6,2,36000.42,12119.02
72,2023-04-01,6,3,46181.09,11888.66
73,2023-05-01,1,1,120990.94,35900.63
